DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
265,0	6,878	3,163	304,617	1015,749	529,298	3,207	0,684	0,605	0,394	0,223	0,180	0,106	0,114	0,043	0,013	-0,013	-0,010	-0,041	-0,009	-0,039	-0,015	-0,030	0,107	-0,023	-0,032	-0,098	-0,174	-0,136	-0,056	-0,167	-0,158	-0,218	-0,171	-0,169	-0,218
266,0	10,249	2,903	167,132	1015,749	797,417	11,986	0,668	0,546	0,366	0,293	0,235	0,137	0,028	0,056	0,002	-0,041	-0,096	-0,038	-0,058	-0,099	0,013	-0,024	0,067	0,027	-0,088	-0,064	-0,129	-0,154	-0,111	-0,174	-0,180	-0,218	-0,185	-0,125	-0,173
267,0	15,432	2,816	69,011	1015,749	1012,988	41,717	0,818	0,531	0,325	0,301	0,252	0,127	0,098	-0,007	0,019	0,033	-0,056	-0,113	-0,156	-0,080	0,002	-0,014	0,049	-0,027	-0,060	-0,105	-0,089	-0,174	-0,142	-0,192	-0,191	-0,105	-0,152	-0,203	-0,128
268,0	21,229	3,036	23,849	963,758	1015,749	114,672	0,902	0,628	0,432	0,337	0,238	0,055	0,073	0,117	0,003	0,025	-0,013	0,004	-0,060	-0,074	-0,024	0,047	-0,016	-0,012	-0,047	-0,065	-0,062	-0,137	-0,111	-0,075	-0,101	-0,180	-0,166	-0,129	-0,150
269,0	26,450	3,564	8,177	686,509	1015,749	242,874	1,108	0,531	0,450	0,284	0,233	0,139	0,171	0,025	0,100	0,030	-0,007	-0,008	-0,130	-0,037	-0,016	-0,007	0,089	0,053	0,016	-0,107	-0,141	-0,188	-0,134	-0,065	-0,090	-0,178	-0,158	-0,136	-0,139
270,0	32,196	5,078	3,908	405,897	1015,749	471,663	2,712	0,569	0,459	0,316	0,260	0,196	0,069	0,039	0,007	-0,006	-0,069	-0,047	-0,031	-0,049	0,051	-0,008	0,004	-0,002	-0,071	-0,158	-0,111	-0,137	-0,131	-0,181	-0,147	-0,199	-0,139	-0,163	-0,147
271,0	35,516	7,150	3,205	200,157	1015,749	789,196	10,520	0,774	0,383	0,339	0,254	0,157	0,046	-0,014	0,041	0,035	-0,059	0,003	-0,066	0,028	-0,069	0,031	0,026	0,026	-0,097	-0,071	-0,145	-0,108	-0,076	-0,150	-0,142	-0,147	-0,199	-0,119	-0,139
272,0	36,639	10,858	2,871	87,627	1015,749	1013,225	38,314	0,765	0,506	0,394	0,264	0,166	0,147	0,011	0,076	0,010	0,000	-0,027	0,034	-0,058	-0,074	-0,008	0,053	0,031	-0,022	-0,066	-0,047	-0,091	-0,200	-0,190	-0,148	-0,191	-0,196	-0,158	-0,170
273,0	36,369	15,026	3,212	33,333	941,000	1015,750	103,408	0,937	0,477	0,418	0,280	0,165	0,010	0,043	0,078	-0,008	-0,054	0,054	-0,036	-0,051	-0,034	0,035	-0,012	-0,038	-0,034	-0,177	-0,136	-0,129	-0,154	-0,194	-0,161	-0,187	-0,184	-0,168	-0,143
274,0	33,491	21,184	3,497	10,073	653,095	1015,750	235,011	1,041	0,538	0,380	0,322	0,239	0,188	0,092	0,062	0,034	-0,013	-0,040	-0,132	-0,084	-0,039	-0,013	0,108	0,049	-0,132	-0,072	-0,019	-0,131	-0,130	-0,129	-0,154	-0,128	-0,119	-0,130	-0,156
275,0	26,151	27,929	4,169	4,783	366,274	1015,750	482,390	2,520	0,685	0,482	0,332	0,271	0,156	0,168	-0,018	-0,056	0,001	0,049	-0,067	-0,043	-0,029	0,031	0,068	0,066	-0,135	-0,054	-0,131	-0,103	-0,140	-0,105	-0,159	-0,201	-0,175	-0,176	-0,124
276,0	22,654	33,607	5,421	4,327	204,825	1015,750	765,504	8,920	0,742	0,531	0,312	0,249	0,161	0,044	0,072	0,059	0,093	-0,043	-0,163	-0,034	-0,043	0,053	0,017	-0,070	-0,087	-0,057	-0,134	-0,140	-0,207	-0,179	-0,076	-0,091	-0,222	-0,229	-0,119
277,0	16,002	37,719	7,795	4,824	90,547	1015,750	1009,266	33,488	0,939	0,522	0,236	0,238	0,160	0,066	0,086	0,009	-0,041	-0,025	-0,109	-0,114	-0,008	0,025	0,009	-0,037	-0,049	-0,079	-0,088	-0,114	-0,080	-0,141	-0,160	-0,128	-0,179	-0,055	-0,132
278,0	11,685	40,243	11,754	5,141	30,783	1010,366	1015,749	105,526	0,912	0,489	0,412	0,286	0,192	0,047	-0,091	0,024	-0,072	0,027	-0,048	-0,014	-0,009	0,046	0,069	0,023	-0,031	-0,089	-0,100	-0,182	-0,131	-0,106	-0,041	-0,140	-0,098	-0,117	-0,085
279,0	7,988	39,502	17,438	5,261	11,726	749,194	1015,749	248,261	1,153	0,602	0,407	0,272	0,191	0,043	0,031	0,054	0,019	0,021	-0,094	-0,013	-0,017	-0,019	-0,010	0,073	-0,019	-0,158	-0,128	-0,139	-0,043	-0,156	-0,166	-0,051	-0,076	-0,090	-0,113
280,0	5,359	35,592	23,260	5,864	7,944	482,938	1015,749	464,395	2,365	0,604	0,429	0,337	0,166	0,150	0,014	0,037	0,115	0,009	-0,138	-0,010	0,010	0,054	0,059	-0,026	-0,014	-0,185	-0,116	-0,104	-0,129	-0,141	-0,123	-0,098	-0,134	-0,057	-0,124
281,0	4,428	31,497	29,431	6,494	7,459	264,695	1015,749	784,409	9,082	0,798	0,340	0,272	0,238	0,177	0,123	-0,003	-0,022	0,007	-0,065	-0,013	-0,057	0,017	0,062	-0,040	-0,097	-0,050	-0,057	-0,118	-0,097	-0,070	-0,119	-0,108	-0,066	-0,073	-0,002
282,0	3,576	26,077	36,322	8,533	8,119	119,215	1015,749	1014,328	35,047	0,773	0,401	0,354	0,172	0,151	0,046	0,045	-0,011	-0,007	-0,023	-0,085	0,034	0,000	0,063	0,038	-0,004	-0,048	-0,090	-0,070	-0,091	-0,092	-0,080	-0,092	-0,078	-0,067	-0,029
283,0	3,351	19,919	40,471	11,682	8,971	45,422	1015,749	1015,749	107,089	0,901	0,507	0,421	0,236	0,078	0,055	-0,045	0,024	0,008	-0,094	-0,032	0,078	0,077	-0,020	0,066	-0,058	-0,118	-0,069	-0,130	-0,046	-0,095	-0,077	-0,148	-0,030	-0,019	-0,055
284,0	3,316	16,435	43,828	14,974	9,354	19,606	887,570	1015,749	243,496	1,038	0,462	0,337	0,314	0,118	0,075	0,030	-0,006	-0,028	-0,024	-0,019	0,001	-0,049	0,049	0,079	-0,051	-0,164	-0,118	-0,084	-0,092	-0,104	-0,047	-0,014	-0,052	-0,024	-0,033
