DATATYPE	 3 Dimensional Data
XYZUNITS	 Nanometer;Nanometer;Emission
DECIMALSYMBOL	 ,
261,0	12,272	93,209	889,617	577,003	12,850	0,622	0,381	0,326	0,255	0,204	0,200	0,119	0,016	0,082	-0,018	0,162	0,058	0,014	0,007	0,005	0,017	0,049	0,064	0,027	0,084	0,016	-0,006	-0,004	-0,029	-0,025	-0,045	-0,056	-0,123	-0,014	0,070	0,059	0,018	0,014	-0,015	0,020	0,022	0,021	0,043	0,075	0,076	0,377	1,331	1,857	1,113	0,471	0,591
262,0	15,545	51,638	745,585	751,832	36,998	0,601	0,382	0,333	0,168	0,250	0,226	0,086	0,078	0,118	-0,001	0,091	0,009	0,065	0,042	-0,009	-0,006	-0,020	-0,024	0,049	0,005	-0,024	0,038	-0,050	-0,068	-0,029	-0,030	-0,038	-0,226	-0,056	0,018	0,073	0,026	-0,016	-0,024	0,039	-0,034	0,009	0,018	0,026	-0,005	0,213	1,002	1,875	1,389	0,519	0,522
263,0	18,945	24,046	541,179	940,125	91,873	0,692	0,361	0,357	0,295	0,179	0,164	0,159	0,078	0,003	0,044	0,114	0,034	0,091	0,023	0,001	-0,034	0,019	-0,035	0,067	0,010	-0,053	-0,022	-0,040	-0,039	-0,040	-0,054	0,017	-0,163	-0,072	0,020	-0,038	0,013	0,003	0,020	0,027	-0,014	0,038	0,020	0,052	0,059	0,202	0,647	1,863	1,712	0,636	0,469
264,0	28,816	14,103	362,944	1013,671	193,568	0,989	0,557	0,418	0,274	0,131	0,137	0,155	0,072	0,073	0,090	0,015	0,050	-0,017	0,007	0,071	0,028	0,040	-0,011	0,049	0,094	-0,009	-0,059	-0,062	-0,085	-0,041	-0,036	-0,019	-0,176	0,033	0,028	-0,017	0,039	-0,045	0,029	-0,008	0,050	0,071	-0,001	0,003	-0,067	0,065	0,364	1,414	2,199	1,101	0,393
265,0	38,565	11,338	204,821	1015,027	354,665	2,515	0,466	0,411	0,327	0,193	0,150	0,140	0,058	0,038	0,118	0,102	0,043	0,040	-0,025	-0,058	-0,002	-0,052	0,053	0,058	0,017	-0,009	-0,022	0,030	-0,026	-0,071	-0,017	0,006	-0,124	-0,036	-0,007	-0,012	-0,023	-0,009	0,000	0,058	-0,066	0,048	0,048	0,006	0,086	0,058	0,200	1,176	2,202	1,626	0,609
266,0	47,290	11,349	116,564	950,920	529,924	8,232	0,578	0,389	0,303	0,255	0,219	0,097	0,111	0,022	0,151	0,012	0,012	0,035	0,032	0,005	-0,064	0,052	0,029	0,078	-0,008	0,000	-0,088	0,024	-0,094	-0,031	-0,089	-0,038	-0,144	-0,031	-0,015	-0,015	-0,047	-0,033	0,054	-0,013	-0,029	0,022	0,047	-0,018	0,041	0,023	0,128	0,799	1,960	1,967	0,874
267,0	55,793	11,402	54,118	779,896	750,255	30,094	0,532	0,362	0,344	0,270	0,147	0,178	0,119	0,079	0,080	0,026	0,108	0,016	0,008	0,038	0,015	-0,021	-0,010	0,067	-0,020	0,016	-0,060	-0,004	-0,048	-0,089	-0,010	-0,001	-0,151	0,004	-0,033	0,002	0,032	-0,006	-0,001	0,026	-0,029	-0,014	-0,038	0,006	0,003	0,070	0,054	0,486	1,466	2,410	1,408
268,0	60,242	15,351	25,823	579,933	931,873	78,896	0,857	0,475	0,383	0,248	0,273	0,130	0,148	0,105	0,101	0,031	0,067	0,097	0,035	0,042	0,031	-0,005	0,047	0,024	-0,049	0,025	-0,027	-0,061	-0,060	0,005	-0,030	-0,057	-0,188	-0,008	-0,025	-0,031	-0,028	0,005	0,025	0,025	0,013	0,082	0,011	0,015	0,018	0,117	0,101	0,247	0,968	2,364	1,934
269,0	60,445	21,284	16,542	393,578	1013,470	163,955	0,896	0,398	0,226	0,243	0,192	0,130	0,068	0,089	0,035	-0,005	0,053	0,008	0,028	-0,034	-0,041	0,034	0,081	0,070	-0,044	-0,012	-0,001	0,027	-0,048	0,032	-0,008	0,009	-0,180	-0,044	0,010	0,033	0,021	-0,012	-0,008	0,000	0,006	0,090	0,048	-0,019	0,028	0,075	0,048	0,179	0,795	2,240	2,513
270,0	55,513	30,740	12,284	229,227	1015,873	308,825	1,880	0,451	0,271	0,209	0,304	0,196	0,151	0,039	0,041	0,058	0,010	0,002	0,081	0,044	0,014	-0,029	0,082	-0,005	-0,020	-0,007	-0,053	-0,057	-0,048	0,006	0,027	0,023	-0,090	-0,034	0,008	-0,005	0,010	0,030	0,021	-0,018	0,072	-0,031	0,008	-0,038	-0,006	0,072	0,112	0,158	0,441	1,723	2,656
271,0	47,275	42,652	10,226	115,967	980,270	501,797	7,433	0,535	0,330	0,302	0,219	0,196	0,124	0,069	0,050	0,034	0,073	-0,003	0,027	0,026	0,026	0,048	0,046	0,049	0,009	0,031	-0,067	0,004	-0,023	-0,038	-0,017	-0,017	-0,129	0,077	-0,045	-0,007	0,057	-0,017	0,029	0,033	-0,017	0,005	0,038	0,045	-0,055	0,073	0,159	0,149	0,269	1,205	2,752
272,0	36,389	52,845	10,155	54,986	817,411	717,774	23,689	0,588	0,380	0,312	0,217	0,111	0,096	0,163	0,064	0,106	0,043	0,097	0,015	-0,011	0,016	0,054	0,069	0,052	-0,037	-0,019	-0,012	-0,060	-0,021	0,033	-0,046	-0,014	-0,050	0,006	-0,002	0,000	-0,003	0,021	-0,033	-0,019	0,037	0,061	-0,021	0,035	0,020	0,063	0,066	0,160	0,204	0,670	2,244
273,0	27,837	61,219	11,720	29,978	638,374	901,791	62,156	0,584	0,429	0,273	0,154	0,245	0,113	0,088	0,097	0,048	0,037	0,033	-0,036	0,092	-0,069	0,063	-0,031	0,023	-0,018	-0,006	0,026	0,002	-0,075	-0,068	-0,050	0,040	-0,127	-0,050	-0,017	0,009	-0,032	-0,016	0,026	0,067	-0,040	-0,022	0,025	-0,062	-0,024	0,043	0,021	0,119	0,131	0,406	1,996
274,0	19,055	65,232	14,333	17,155	435,319	1014,289	141,150	0,689	0,412	0,284	0,234	0,194	0,053	0,052	-0,062	0,053	0,059	0,035	0,034	-0,002	0,004	-0,005	0,052	0,037	0,043	-0,007	-0,028	0,007	-0,020	-0,033	-0,023	0,004	-0,117	-0,006	0,011	0,004	-0,032	0,013	-0,005	0,098	0,019	0,049	-0,011	0,029	-0,041	0,062	0,070	0,158	0,202	0,230	1,283
275,0	11,291	66,553	22,400	12,566	245,744	1015,873	288,604	1,667	0,382	0,375	0,228	0,186	0,079	0,084	0,081	0,054	0,107	0,041	0,062	0,000	-0,035	0,070	0,066	-0,009	0,013	0,017	-0,034	0,011	0,005	-0,052	-0,010	0,024	-0,100	0,050	-0,041	0,002	-0,030	0,070	-0,020	0,047	0,060	0,031	-0,014	0,059	0,018	0,087	0,023	0,106	0,108	0,146	0,811
276,0	6,697	60,515	30,276	11,373	143,341	1008,405	449,227	5,497	0,548	0,316	0,197	0,192	0,159	0,184	0,119	0,131	0,033	0,032	0,052	0,015	-0,081	0,089	0,028	0,017	-0,027	0,009	-0,052	0,027	-0,059	-0,067	-0,023	0,035	-0,089	0,025	0,041	0,066	0,033	0,042	0,063	0,039	0,053	0,016	0,021	-0,041	0,102	-0,001	0,107	0,078	0,108	0,268	0,404
277,0	4,451	51,727	41,939	10,179	69,232	883,229	673,704	20,401	0,519	0,309	0,272	0,170	0,157	0,074	0,131	0,119	0,042	0,092	0,033	-0,027	-0,040	0,050	-0,002	0,040	0,067	0,037	-0,009	-0,006	-0,099	-0,037	-0,055	0,014	-0,088	0,076	0,041	-0,044	-0,006	0,093	0,041	0,046	0,073	0,084	-0,048	0,004	-0,028	0,076	0,116	0,207	0,080	0,179	0,330
278,0	2,753	40,711	54,261	9,718	30,713	658,719	888,671	63,670	0,634	0,385	0,270	0,077	0,156	0,156	0,074	0,006	0,068	-0,054	0,009	0,006	0,016	-0,007	0,012	-0,026	-0,010	0,002	-0,033	0,031	-0,017	0,068	-0,017	-0,019	-0,181	-0,046	-0,014	0,064	0,034	0,006	0,070	0,106	0,039	0,025	0,078	0,055	0,025	0,016	0,096	0,132	0,081	0,152	0,203
279,0	2,222	28,330	64,685	10,661	18,019	451,734	1012,827	145,503	0,728	0,376	0,232	0,364	0,164	0,101	0,102	0,096	0,059	0,052	0,050	-0,004	-0,012	0,058	-0,022	0,023	0,060	0,007	-0,037	-0,068	-0,011	0,002	-0,021	0,040	-0,144	-0,004	0,055	0,046	-0,011	0,017	-0,020	0,058	0,032	0,028	-0,006	-0,030	-0,029	0,063	0,050	0,139	0,104	0,177	0,171
280,0	1,777	20,496	68,895	14,350	14,069	281,193	1015,873	271,279	1,435	0,434	0,353	0,210	0,147	0,183	0,090	0,137	-0,058	0,022	-0,004	0,057	0,059	0,034	0,042	-0,021	0,029	0,005	0,092	-0,053	-0,020	-0,014	-0,073	0,001	-0,079	0,042	0,046	0,059	-0,016	-0,038	0,048	0,086	-0,025	0,041	0,057	0,046	0,044	0,018	0,091	0,134	0,067	0,138	0,232
281,0	1,620	12,494	70,924	20,729	12,035	155,092	1015,060	450,266	5,265	0,320	0,304	0,200	0,088	0,139	0,102	0,036	0,113	0,058	0,037	0,023	-0,002	-0,001	0,081	-0,021	0,061	0,041	0,005	-0,024	-0,055	-0,067	0,024	-0,076	-0,153	-0,040	0,005	-0,017	0,020	0,050	0,078	0,030	0,029	0,014	0,064	-0,017	0,053	0,052	0,075	0,080	0,122	0,149	0,205
282,0	1,490	7,858	65,519	32,066	10,786	76,110	920,760	666,587	19,244	0,481	0,299	0,208	0,178	0,138	0,032	0,061	0,041	0,065	0,061	0,023	-0,002	0,063	0,030	-0,021	-0,007	-0,038	0,040	-0,010	-0,109	-0,040	-0,021	0,007	-0,061	-0,007	0,042	-0,002	0,026	0,108	-0,027	0,032	0,124	0,029	0,085	0,002	0,078	0,020	0,052	0,084	0,223	0,164	0,204
283,0	1,245	4,331	55,671	43,830	9,071	35,243	725,247	876,507	57,904	0,620	0,255	0,255	0,279	0,162	0,132	0,037	0,081	0,067	0,052	0,015	0,014	0,084	0,033	-0,031	0,011	0,077	-0,010	-0,020	-0,037	0,016	-0,032	-0,039	-0,182	-0,008	0,001	0,038	0,010	0,044	0,044	0,138	-0,071	0,042	0,093	0,028	-0,046	0,088	0,074	0,093	0,166	0,115	0,141
284,0	1,245	3,259	43,880	53,894	8,387	19,656	522,916	1001,884	126,296	0,724	0,267	0,295	0,186	0,068	0,106	0,058	-0,006	0,028	0,018	0,036	-0,043	0,063	0,084	0,044	0,020	0,049	-0,045	-0,008	-0,032	-0,051	0,044	-0,053	-0,086	-0,032	-0,012	0,012	-0,013	0,044	0,054	0,095	0,050	0,021	0,040	0,089	0,017	0,156	0,077	0,066	0,051	0,164	0,141
285,0	1,355	2,405	33,077	63,117	9,435	15,114	330,998	1015,873	253,229	1,098	0,371	0,275	0,211	0,197	0,117	0,101	0,039	0,070	0,039	0,002	-0,078	-0,007	0,064	0,021	-0,053	-0,040	0,009	0,007	-0,112	0,023	-0,084	0,006	-0,135	0,017	-0,014	0,094	0,017	0,017	0,048	-0,002	0,048	0,033	0,055	0,028	0,010	0,003	0,062	0,110	0,118	0,236	0,316
286,0	1,187	2,187	20,955	69,173	13,148	13,301	172,571	1015,233	452,075	4,761	0,425	0,245	0,093	0,129	0,108	0,162	0,080	0,095	0,006	0,003	-0,025	0,022	0,091	0,004	0,013	-0,029	-0,050	-0,019	-0,025	-0,015	0,027	0,011	-0,138	0,012	-0,007	-0,023	-0,025	0,059	-0,008	0,064	0,046	0,100	0,012	-0,006	0,035	0,078	0,040	0,146	0,109	0,154	0,212
287,0	1,230	1,840	13,567	68,673	19,584	12,011	91,473	923,666	653,966	15,855	0,417	0,186	0,157	0,161	0,158	0,092	0,013	-0,041	0,103	-0,021	0,007	0,005	0,050	0,009	0,035	0,001	0,035	-0,028	-0,019	0,014	0,001	0,014	-0,134	0,040	0,008	-0,018	0,006	0,045	0,079	-0,017	-0,057	0,014	0,007	0,047	0,036	0,055	0,153	0,058	0,072	0,170	0,142
288,0	1,140	1,773	7,705	64,582	29,346	10,246	40,759	720,040	855,992	48,909	0,507	0,368	0,261	0,199	0,115	0,092	0,057	0,056	0,063	0,014	-0,018	0,070	-0,019	0,021	0,005	-0,042	-0,029	-0,006	-0,045	-0,040	-0,042	-0,002	-0,118	0,020	0,035	0,038	-0,003	0,046	0,050	0,112	0,065	0,036	-0,014	0,021	-0,054	0,084	0,083	0,106	0,181	0,119	0,099
289,0	1,301	1,362	4,604	55,283	41,530	8,279	20,144	510,804	1002,253	124,710	0,758	0,324	0,295	0,131	0,109	0,130	0,086	0,050	0,030	-0,020	-0,009	0,002	0,044	0,093	0,021	0,067	0,000	0,048	-0,004	-0,007	0,029	-0,015	-0,113	0,041	0,024	0,010	0,032	0,025	0,057	-0,039	0,031	0,054	-0,029	-0,027	-0,037	0,066	0,010	0,038	0,091	0,179	0,096
290,0	1,151	1,470	3,045	44,594	51,701	7,545	14,828	323,733	1015,873	240,820	1,010	0,312	0,160	0,152	0,056	0,080	0,062	-0,034	0,029	-0,052	0,016	0,029	0,033	-0,008	-0,003	-0,056	0,024	-0,038	-0,044	0,019	0,009	-0,003	-0,167	0,081	0,019	0,074	-0,050	-0,024	0,108	0,041	-0,030	0,060	0,000	0,018	0,081	0,069	0,013	0,092	0,075	0,107	0,220
291,0	1,271	1,323	2,688	32,806	61,398	8,392	13,576	187,813	1015,873	403,160	3,087	0,363	0,165	0,151	0,121	0,078	0,098	0,020	-0,012	0,118	0,064	0,035	0,060	0,017	-0,045	0,029	0,003	-0,015	-0,019	-0,058	0,027	0,002	-0,108	0,067	-0,031	0,036	0,001	0,060	0,016	0,062	-0,008	0,096	-0,045	0,026	0,012	-0,003	0,130	0,143	0,094	0,116	0,182
292,0	1,170	1,322	2,376	22,051	68,924	11,576	12,386	93,394	937,861	605,074	11,733	0,463	0,257	0,170	0,261	0,122	0,085	0,027	-0,022	0,044	0,017	0,004	0,027	0,075	-0,015	-0,024	0,005	-0,004	-0,016	0,011	-0,009	0,018	-0,120	0,067	0,061	0,075	0,073	0,038	0,061	0,074	0,005	0,064	0,130	-0,045	0,032	0,017	0,159	0,136	0,046	0,160	0,150
293,0	1,136	1,393	2,108	14,816	68,524	17,275	10,558	42,560	751,352	805,921	40,849	0,441	0,250	0,146	0,142	0,113	0,103	0,001	0,055	0,040	0,056	0,070	0,047	-0,008	0,029	0,065	-0,065	0,082	-0,029	-0,021	-0,016	-0,006	-0,067	0,010	-0,022	-0,051	-0,004	-0,030	0,129	0,090	0,087	0,061	0,027	0,021	0,033	0,084	0,097	0,133	0,135	0,123	0,198
294,0	1,202	1,090	1,930	8,149	66,431	25,357	8,990	20,926	539,655	977,439	103,187	0,574	0,275	0,207	0,127	0,137	0,017	0,159	0,090	0,048	0,026	0,013	0,057	0,052	-0,024	-0,054	-0,021	-0,095	-0,027	-0,026	-0,032	-0,032	-0,093	-0,017	0,033	0,022	0,093	-0,020	0,053	-0,008	0,023	-0,007	0,124	-0,073	0,052	0,083	0,031	0,142	0,154	0,149	0,156
295,0	1,107	1,261	2,025	5,232	57,535	35,613	7,311	14,813	354,112	1015,873	198,324	0,837	0,361	0,126	0,105	0,132	0,122	0,105	0,046	0,039	-0,023	0,024	0,041	0,002	0,004	-0,038	0,002	-0,040	-0,032	-0,047	0,039	-0,011	-0,109	0,005	0,075	0,069	0,040	-0,015	0,023	0,008	0,039	0,030	0,036	0,056	0,026	0,056	0,041	0,142	0,072	0,246	0,191
296,0	1,113	1,139	1,456	3,279	46,901	48,095	6,595	12,618	195,749	1015,873	374,149	2,537	0,421	0,199	0,188	0,136	0,062	0,021	0,007	0,023	-0,003	0,035	0,035	0,027	0,092	0,051	-0,026	-0,040	-0,051	0,037	0,034	0,000	-0,151	0,115	0,016	-0,029	0,078	0,058	-0,014	0,049	0,007	0,022	0,096	0,041	0,035	0,097	0,104	0,154	0,112	0,153	0,121
297,0	1,183	1,215	1,448	2,486	34,221	59,170	7,293	12,169	89,250	945,647	575,598	10,997	0,352	0,190	0,234	0,190	0,098	0,049	0,078	0,040	-0,003	-0,034	0,092	0,005	0,001	-0,001	-0,040	-0,005	0,001	0,014	-0,013	-0,002	-0,057	-0,024	-0,027	-0,015	0,005	0,089	0,024	0,006	0,047	0,017	0,096	-0,033	0,052	0,089	0,073	0,150	0,062	0,187	0,262
298,0	1,179	1,336	1,295	2,478	23,309	65,350	9,656	11,172	38,811	752,786	790,966	37,891	0,428	0,299	0,153	0,177	0,082	0,094	0,079	0,026	0,085	0,081	0,031	-0,044	-0,023	-0,004	0,038	0,018	-0,025	-0,103	0,019	-0,040	-0,117	0,013	0,087	0,080	-0,029	0,011	0,071	0,080	0,015	-0,027	0,030	0,011	-0,033	0,019	0,029	0,084	0,077	0,099	0,169
299,0	1,381	1,145	1,344	2,381	15,194	66,305	14,762	9,549	19,955	551,150	960,855	90,023	0,493	0,247	0,105	0,086	0,169	0,054	0,109	0,028	0,032	0,055	0,091	0,053	0,016	-0,053	-0,010	-0,097	-0,022	-0,046	-0,059	-0,007	-0,119	0,011	0,029	-0,008	0,059	0,000	0,079	-0,046	0,060	0,034	0,096	-0,009	0,021	0,064	0,128	0,066	0,165	0,212	0,162
300,0	1,178	1,198	1,235	2,331	8,881	65,581	23,504	7,945	13,974	346,102	1015,873	195,126	0,693	0,248	0,175	0,108	0,113	0,026	0,088	0,060	-0,028	0,051	0,120	-0,020	-0,037	-0,002	0,023	0,018	-0,088	0,002	0,003	-0,032	-0,096	0,040	0,010	0,017	0,133	0,075	0,005	0,050	0,043	0,048	0,063	0,016	0,076	0,035	0,094	0,151	0,097	0,095	0,160
301,0	1,334	1,487	1,319	1,856	5,369	56,766	33,934	6,299	12,736	192,765	1015,873	350,905	2,238	0,328	0,169	0,051	0,122	0,105	0,038	-0,012	0,028	0,057	0,004	0,009	0,041	0,036	-0,004	-0,022	-0,072	-0,088	0,011	0,085	-0,151	0,023	-0,038	0,050	0,050	0,087	0,170	0,064	-0,032	0,018	0,023	-0,032	0,052	0,085	0,107	0,089	0,062	0,142	0,216
302,0	1,313	1,496	1,330	1,770	3,985	46,745	45,328	6,254	12,148	95,301	928,213	550,571	9,785	0,353	0,244	0,151	0,108	0,056	0,038	-0,016	0,018	0,052	0,021	0,121	0,015	-0,040	-0,017	-0,004	-0,054	-0,065	0,054	-0,015	-0,090	0,038	0,024	0,030	0,046	0,007	-0,029	0,033	-0,006	0,047	0,071	0,015	0,023	0,115	0,120	0,076	0,078	0,137	0,191
303,0	1,212	1,331	1,324	1,901	2,992	36,561	54,388	6,487	11,258	44,436	754,476	749,668	31,997	0,393	0,199	0,136	0,110	0,088	0,137	0,040	0,097	0,042	-0,037	0,131	-0,027	0,048	-0,068	-0,049	-0,018	0,005	0,025	0,045	-0,091	0,041	0,046	0,036	0,024	0,089	0,045	0,054	0,081	0,113	0,057	0,052	0,031	0,070	0,112	0,166	0,148	0,148	0,111
304,0	1,308	1,628	1,394	1,634	2,876	25,743	61,120	9,432	9,959	19,092	561,060	927,765	85,137	0,502	0,149	0,222	0,205	0,075	0,033	-0,003	-0,067	0,019	0,086	-0,009	0,007	0,015	-0,010	-0,021	-0,027	-0,062	-0,004	-0,036	-0,169	0,015	0,003	-0,052	0,054	0,045	0,063	0,078	0,088	0,012	-0,036	-0,013	0,096	0,111	0,072	0,109	0,127	0,068	0,180
305,0	1,465	1,603	1,509	1,647	2,534	16,307	66,767	13,877	8,056	13,162	356,791	1014,235	181,079	0,641	0,316	0,193	0,144	0,189	0,026	0,047	0,059	0,009	0,046	0,065	-0,006	0,010	-0,025	0,024	0,003	0,011	-0,002	0,002	-0,031	0,043	0,022	-0,010	0,026	0,031	0,011	-0,022	-0,055	0,041	0,056	-0,010	-0,043	0,049	0,147	0,116	0,152	0,143	0,157
306,0	1,306	1,555	1,805	1,465	2,346	9,590	65,341	22,400	6,940	12,454	207,424	1015,873	327,238	1,353	0,256	0,180	0,110	0,030	0,048	-0,001	-0,021	0,052	-0,004	0,020	-0,010	0,025	-0,040	-0,059	-0,026	-0,028	0,024	-0,014	-0,100	-0,010	0,027	0,061	-0,030	0,024	0,103	0,039	0,056	0,021	-0,002	0,038	0,030	0,045	0,064	0,197	0,077	0,168	0,244
307,0	1,557	1,546	1,687	1,578	2,536	6,472	59,593	30,469	5,548	12,023	108,967	970,127	493,697	4,784	0,312	0,204	0,170	0,063	0,078	0,140	-0,036	0,082	0,061	0,046	0,086	0,009	-0,021	-0,020	-0,084	0,006	-0,035	0,013	-0,100	0,034	-0,051	0,004	0,057	0,029	0,089	0,038	0,050	0,071	0,076	0,056	0,039	0,166	0,074	0,084	0,153	0,188	0,144
308,0	1,455	1,481	1,524	1,679	2,150	4,502	49,557	42,631	4,847	11,620	50,308	796,030	704,708	20,428	0,475	0,171	0,233	0,071	0,034	0,035	-0,026	0,006	0,010	0,035	0,035	-0,010	-0,014	0,042	-0,004	0,015	-0,008	-0,010	-0,120	0,050	0,000	0,004	0,035	0,001	0,008	0,001	0,047	0,066	0,067	0,081	0,071	0,066	0,100	0,162	0,155	0,039	0,276
309,0	1,475	1,200	1,604	1,612	2,334	3,267	39,765	51,844	5,478	10,661	22,138	603,795	889,621	58,789	0,623	0,262	0,211	0,129	0,030	0,026	-0,038	0,100	0,035	0,082	-0,040	0,026	-0,027	0,086	-0,061	-0,021	0,058	-0,010	-0,125	0,031	0,054	0,009	0,028	-0,001	0,009	0,065	0,010	0,056	0,004	0,006	0,003	0,125	0,093	0,152	0,101	0,137	0,250
310,0	1,489	1,664	1,498	1,743	1,902	2,809	27,338	59,554	7,872	9,116	13,083	380,751	1005,950	143,321	0,572	0,204	0,201	0,120	0,073	0,074	0,044	0,071	0,082	0,032	0,086	-0,007	-0,007	0,003	-0,047	0,001	-0,017	0,059	-0,166	-0,023	0,044	0,064	0,022	-0,029	0,012	0,015	0,047	0,014	0,070	-0,001	0,033	0,099	0,114	0,094	0,110	0,184	0,166
311,0	1,259	1,577	1,615	1,718	1,968	2,721	18,721	63,697	12,718	7,556	11,875	235,027	1014,281	253,948	1,115	0,321	0,170	0,123	0,057	0,065	-0,029	0,015	0,052	0,022	-0,006	0,024	0,017	-0,032	0,005	-0,088	-0,007	0,021	-0,144	0,034	-0,015	0,042	0,036	0,089	0,034	0,055	0,024	0,048	0,028	0,060	0,087	0,074	0,130	0,110	0,179	0,187	0,228
